ID,Data Abertura,Data Fechamento,Tipo,Cliente,Responsavel,Prioridade,Horas,Custo (R$)
2000,21/06/2026,22/06/2026,Hardware,Ere Servicos,Diego Prado,Alta,3.1,1244.85
2001,14/06/2026,14/06/2026,Acesso,Delta Industria,Ana Ribeiro,Baixa,13.1,1361.96
2002,20/06/2026,26/06/2026,Hardware,Ere Servicos,Diego Prado,Baixa,12.8,1796.34
2003,06/06/2026,09/06/2026,Acesso,Fenix Energia,Carla Menezes,Alta,4.0,2384.89
2004,21/06/2026,23/06/2026,Acesso,Delta Industria,Carla Menezes,Critica,8.0,1310.43
2005,06/06/2026,11/06/2026,Hardware,Beta Telecom,Bruno Tavares,Critica,7.9,1493.32
2006,11/06/2026,17/06/2026,Acesso,Gama Saude,Bruno Tavares,Media,3.8,625.05
2007,18/06/2026,18/06/2026,Software,Delta Industria,Carla Menezes,Alta,11.4,710.68
2008,01/06/2026,06/06/2026,Acesso,Gama Saude,Diego Prado,Media,5.6,1135.19
2009,02/06/2026,05/06/2026,Software,Fenix Energia,Bruno Tavares,Media,1.8,2877.99
2010,13/06/2026,16/06/2026,Acesso,Gama Saude,Carla Menezes,Baixa,2.2,1406.62
2011,25/06/2026,28/06/2026,Acesso,Horizonte Bank,Ana Ribeiro,Baixa,5.8,2971.7
2012,27/06/2026,28/06/2026,Acesso,Horizonte Bank,Bruno Tavares,Baixa,3.5,554.45
2013,22/06/2026,22/06/2026,Acesso,Beta Telecom,Elisa Fontes,Baixa,0.5,472.03
2014,19/06/2026,19/06/2026,Software,Cedro Varejo,Carla Menezes,Critica,9.9,429.85
2015,03/06/2026,05/06/2026,Telefonia,Delta Industria,Diego Prado,Alta,3.5,1955.31
2016,01/06/2026,05/06/2026,Software,Horizonte Bank,Carla Menezes,Alta,9.2,2837.37
2017,16/06/2026,20/06/2026,Hardware,Delta Industria,Ana Ribeiro,Critica,10.0,1039.08
2018,01/06/2026,02/06/2026,Acesso,Gama Saude,Ana Ribeiro,Alta,3.6,1403.89
2019,12/06/2026,13/06/2026,Acesso,Alfa Log,Carla Menezes,Critica,5.4,1316.64
2020,01/06/2026,07/06/2026,Software,Beta Telecom,Bruno Tavares,Critica,13.6,1052.55
2021,27/06/2026,28/06/2026,Hardware,Horizonte Bank,Bruno Tavares,Alta,10.8,1000.19
2022,20/06/2026,23/06/2026,Telefonia,Cedro Varejo,Bruno Tavares,Critica,6.1,2155.72
2023,20/06/2026,21/06/2026,Acesso,Alfa Log,Bruno Tavares,Baixa,13.7,522.76
2024,02/06/2026,07/06/2026,Rede,Cedro Varejo,Diego Prado,Critica,12.6,2836.78
2025,24/06/2026,24/06/2026,Rede,Cedro Varejo,Carla Menezes,Media,3.0,2999.95
2026,24/06/2026,27/06/2026,Rede,Ere Servicos,Diego Prado,Alta,13.8,1460.4
2027,04/06/2026,04/06/2026,Rede,Ere Servicos,Ana Ribeiro,Alta,6.2,2841.74
2028,18/06/2026,24/06/2026,Hardware,Gama Saude,Carla Menezes,Alta,11.6,1429.24
2029,02/06/2026,07/06/2026,Acesso,Delta Industria,Carla Menezes,Critica,3.1,1216.46
2030,16/06/2026,16/06/2026,Acesso,Delta Industria,Diego Prado,Baixa,5.6,1527.84
2031,26/06/2026,26/06/2026,Software,Delta Industria,Ana Ribeiro,Alta,5.4,1125.11
2032,20/06/2026,20/06/2026,Software,Fenix Energia,Carla Menezes,Alta,0.6,2437.64
2033,26/06/2026,28/06/2026,Rede,Alfa Log,Bruno Tavares,Baixa,6.9,3065.15
2034,25/06/2026,28/06/2026,Software,Gama Saude,Diego Prado,Media,13.0,650.77
2035,26/06/2026,28/06/2026,Software,Cedro Varejo,Elisa Fontes,Media,4.9,1076.99
2036,12/06/2026,18/06/2026,Telefonia,Beta Telecom,Elisa Fontes,Media,5.8,579.0
2037,14/06/2026,14/06/2026,Rede,Horizonte Bank,Elisa Fontes,Alta,2.7,1410.85
2038,04/06/2026,04/06/2026,Software,Beta Telecom,Bruno Tavares,Baixa,6.2,3163.91
2039,15/06/2026,16/06/2026,Hardware,Cedro Varejo,Diego Prado,Critica,8.9,2183.22
2040,24/06/2026,28/06/2026,Rede,Ere Servicos,Carla Menezes,Alta,8.2,1243.67
2041,24/06/2026,26/06/2026,Hardware,Horizonte Bank,Bruno Tavares,Media,3.8,558.37
2042,19/06/2026,20/06/2026,Software,Beta Telecom,Diego Prado,Alta,13.9,1662.85
2043,08/06/2026,13/06/2026,Rede,Horizonte Bank,Ana Ribeiro,Baixa,0.6,2834.41
2044,08/06/2026,14/06/2026,Acesso,Fenix Energia,Ana Ribeiro,Alta,3.6,237.22
2045,20/06/2026,26/06/2026,Telefonia,Delta Industria,Ana Ribeiro,Alta,7.4,634.61
2046,20/06/2026,22/06/2026,Rede,Beta Telecom,Elisa Fontes,Alta,3.4,1230.37
2047,05/06/2026,05/06/2026,Hardware,Ere Servicos,Ana Ribeiro,Media,11.5,2634.76
2048,14/06/2026,19/06/2026,Software,Cedro Varejo,Elisa Fontes,Alta,1.6,178.18
2049,16/06/2026,20/06/2026,Acesso,Beta Telecom,Diego Prado,Baixa,11.2,2151.76
2050,05/06/2026,10/06/2026,Telefonia,Beta Telecom,Bruno Tavares,Critica,9.9,1358.54
2051,10/06/2026,15/06/2026,Software,Gama Saude,Ana Ribeiro,Alta,10.6,2837.13
2052,14/06/2026,17/06/2026,Rede,Fenix Energia,Bruno Tavares,Critica,10.3,715.44
2053,01/06/2026,04/06/2026,Hardware,Gama Saude,Ana Ribeiro,Baixa,6.0,2834.45
2054,15/06/2026,21/06/2026,Hardware,Cedro Varejo,Ana Ribeiro,Baixa,7.9,2078.88
2055,13/06/2026,13/06/2026,Telefonia,Fenix Energia,Elisa Fontes,Media,2.5,963.88
2056,17/06/2026,18/06/2026,Rede,Beta Telecom,Diego Prado,Critica,10.7,2551.49
2057,26/06/2026,27/06/2026,Software,Cedro Varejo,Ana Ribeiro,Critica,4.7,1975.85
2058,21/06/2026,24/06/2026,Rede,Cedro Varejo,Bruno Tavares,Critica,8.8,691.87
2059,16/06/2026,17/06/2026,Telefonia,Delta Industria,Ana Ribeiro,Critica,13.2,568.21
2060,12/06/2026,12/06/2026,Hardware,Delta Industria,Bruno Tavares,Baixa,12.4,2708.55
2061,22/06/2026,22/06/2026,Software,Beta Telecom,Diego Prado,Critica,7.9,2036.37
2062,10/06/2026,15/06/2026,Acesso,Ere Servicos,Elisa Fontes,Media,6.2,2135.59
2063,15/06/2026,19/06/2026,Acesso,Cedro Varejo,Ana Ribeiro,Baixa,8.9,1607.24
2064,08/06/2026,11/06/2026,Telefonia,Horizonte Bank,Bruno Tavares,Critica,5.9,289.42
2065,12/06/2026,15/06/2026,Software,Beta Telecom,Diego Prado,Baixa,1.0,486.45
2066,24/06/2026,26/06/2026,Telefonia,Beta Telecom,Ana Ribeiro,Critica,9.3,2526.84
2067,01/06/2026,07/06/2026,Rede,Beta Telecom,Bruno Tavares,Media,13.8,1614.63
2068,26/06/2026,28/06/2026,Hardware,Delta Industria,Ana Ribeiro,Alta,8.7,866.93
2069,11/06/2026,15/06/2026,Software,Horizonte Bank,Bruno Tavares,Alta,7.3,2950.11
2070,07/06/2026,11/06/2026,Software,Delta Industria,Carla Menezes,Alta,1.0,648.14
2071,06/06/2026,11/06/2026,Software,Fenix Energia,Diego Prado,Media,11.2,904.74
2072,25/06/2026,28/06/2026,Rede,Fenix Energia,Diego Prado,Baixa,3.9,1751.39
2073,28/06/2026,28/06/2026,Software,Ere Servicos,Diego Prado,Alta,8.3,1203.98
2074,25/06/2026,25/06/2026,Acesso,Delta Industria,Bruno Tavares,Baixa,4.5,1690.25
2075,10/06/2026,15/06/2026,Telefonia,Fenix Energia,Ana Ribeiro,Baixa,3.5,987.83
2076,21/06/2026,24/06/2026,Acesso,Fenix Energia,Ana Ribeiro,Media,7.1,1991.06
2077,02/06/2026,02/06/2026,Rede,Alfa Log,Elisa Fontes,Alta,4.6,1712.04
2078,18/06/2026,19/06/2026,Acesso,Ere Servicos,Elisa Fontes,Media,3.3,2026.66
2079,16/06/2026,17/06/2026,Hardware,Alfa Log,Bruno Tavares,Media,6.6,278.65
2080,05/06/2026,11/06/2026,Software,Gama Saude,Carla Menezes,Baixa,1.3,2641.15
2081,12/06/2026,16/06/2026,Telefonia,Horizonte Bank,Elisa Fontes,Critica,3.9,2898.93
2082,02/06/2026,02/06/2026,Telefonia,Alfa Log,Diego Prado,Media,3.7,262.14
2083,25/06/2026,25/06/2026,Rede,Delta Industria,Bruno Tavares,Critica,3.2,1977.22
2084,17/06/2026,22/06/2026,Acesso,Cedro Varejo,Elisa Fontes,Alta,1.4,2033.01
2085,24/06/2026,28/06/2026,Acesso,Alfa Log,Diego Prado,Critica,10.6,1531.63
2086,24/06/2026,28/06/2026,Acesso,Cedro Varejo,Bruno Tavares,Baixa,4.0,2089.34
2087,04/06/2026,06/06/2026,Software,Alfa Log,Carla Menezes,Critica,9.8,2941.9
2088,09/06/2026,11/06/2026,Hardware,Beta Telecom,Elisa Fontes,Baixa,2.8,2902.67
2089,27/06/2026,28/06/2026,Hardware,Cedro Varejo,Carla Menezes,Media,12.4,1105.09
2090,08/06/2026,11/06/2026,Telefonia,Horizonte Bank,Diego Prado,Baixa,12.1,1444.11
2091,24/06/2026,25/06/2026,Telefonia,Ere Servicos,Bruno Tavares,Critica,8.9,322.74
