ID;Data Abertura;Data Fechamento;Tipo;Cliente;Responsavel;Prioridade;Horas;Custo (R$)
3022;07/07/2026;10/07/2026;Acesso;Alfa Log;Ana Ribeiro;Critica;12,0;1441,97
3030;19/07/2026;22/07/2026;Telefonia;Delta Industria;Diego Prado;Baixa;9,1;2666,43
3010;27/07/2026;28/07/2026;Acesso;Fenix Energia;Elisa Fontes;Alta;8,3;575,75
3028;22/07/2026;27/07/2026;Hardware;Fenix Energia;Ana Ribeiro;Critica;11,7;2913,56
3005;21/07/2026;22/07/2026;Software;Fenix Energia;Carla Menezes;Critica;4,0;1174,81
3077;07/07/2026;09/07/2026;Telefonia;Alfa Log;Diego Prado;Critica;7,8;1752,79
3037;26/07/2026;28/07/2026;Hardware;Ere Servicos;Diego Prado;Alta;13,8;2197,91
3055;10/07/2026;10/07/2026;Rede;Alfa Log;Bruno Tavares;Critica;8,7;2133,01
3054;05/07/2026;;Rede;Alfa Log;Diego Prado;Critica;7,9;235,06
3057;20/07/2026;25/07/2026;Rede;Delta Industria;Ana Ribeiro;Critica;8,9;622,58
3038;16/07/2026;16/07/2026;Software;Fenix Energia;Bruno Tavares;Alta;4,8;1592,95
3041;01/07/2026;02/07/2026;Rede;Ere Servicos;Carla Menezes;Baixa;8,3;
3073;08/07/2026;;Acesso;Ere Servicos;Ana Ribeiro;Alta;4,1;1398,20
3016;15/07/2026;20/07/2026;Telefonia;Fenix Energia;Bruno Tavares;Critica;6,4;2493,12
3012;16/07/2026;22/07/2026;Telefonia;Beta Telecom;Carla Menezes;Alta;1,8;2976,93
3068;28/07/2026;28/07/2026;Acesso;Alfa Log;Carla Menezes;Alta;13,3;2350,63
3058;22/07/2026;23/07/2026;Rede;Gama Saude;Ana Ribeiro;Baixa;5,5;2646,55
3073;08/07/2026;;Acesso;Ere Servicos;Ana Ribeiro;Alta;4,1;1398,20
3008;18/07/2026;22/07/2026;Hardware;Beta Telecom;;Alta;2,8;84,05
3019;12/07/2026;13/07/2026;Hardware;Fenix Energia;Bruno Tavares;Alta;13,7;2353,64
3026;21/07/2026;26/07/2026;Rede;Gama Saude;Bruno Tavares;Critica;10,1;2044,40
3044;17/07/2026;17/07/2026;Acesso;Beta Telecom;Elisa Fontes;Baixa;4,1;810,63
3039;20/07/2026;25/07/2026;Rede;Fenix Energia;Bruno Tavares;Alta;12,0;258,04
3031;17/07/2026;19/07/2026;Acesso;Horizonte Bank;Bruno Tavares;Media;5,8;2459,63
3034;13/07/2026;17/07/2026;Hardware;Gama Saude;Diego Prado;Media;2,7;2979,79
3056;26/07/2026;28/07/2026;Telefonia;Gama Saude;Elisa Fontes;Media;9,0;2252,78
