 ID ,Data Abertura,Data Fechamento, Tipo,Cliente ,Responsavel,Prioridade,Horas ,Custo (R$)
4000,20/08/2026,24/08/2026,  Software , Beta Telecom,Diego Prado,Media,6.4,1676.29
4001,10/08/2026,13/08/2026,Telefonia,Ere Servicos,Carla Menezes,Media,-10.4,2390.06
4002,10/08/2026,16/08/2026,  Acesso ,Delta Industria,Diego Prado,Media,7.9,1224.46
4003,18/08/2026,20/08/2026,telefonia,Horizonte Bank,Diego Prado,Alta,0.9,1121.04
4004,07/08/2026,11/08/2026,  Telefonia ,Gama Saude,Elisa Fontes,Critica,0.7,1180.28
4005,28/08/2026,28/08/2026,software,Fenix Energia,Diego Prado,Alta,4.3,3161.03
4006,10/08/2026,10/08/2026,rede,Cedro Varejo  ,Elisa Fontes,Baixa,8.7,1165.74
4007,22/08/2026,22/08/2026,Telefonia,Gama Saude,Diego Prado,Alta,10.4,420.84
4008,08/08/2026,13/08/2026,hardware, Gama Saude,Carla Menezes,Alta,2.4,711.78
4009,20/08/2026,26/08/2026,SOFTWARE,Beta Telecom,Diego Prado,Alta,11.1,2290.68
4010,23/08/2026,24/08/2026,acesso, Beta Telecom,Ana Ribeiro,Critica,10.8,1907.8
4011,16/08/2026,19/08/2026,telefonia,Cedro Varejo,Diego Prado,Alta,12.3,1974.88
4012,13/08/2026,19/08/2026,acesso, Horizonte Bank,Carla Menezes,Alta,4.5,1298.94
4013,18/08/2026,22/08/2026,  Acesso ,Fenix Energia,Ana Ribeiro,Critica,5.6,1016.07
4014,18/08/2026,20/08/2026,  Hardware ,Gama Saude  ,Elisa Fontes,Critica,8.4,354.34
4015,11/08/2026,13/08/2026,Telefonia,Delta Industria,Carla Menezes,Media,13.6,2860.71
4016,01/08/2026,01/08/2026,  Rede ,Ere Servicos  ,Elisa Fontes,Critica,4.5,1753.71
4017,10/08/2026,14/08/2026,Telefonia, Gama Saude,Elisa Fontes,Critica,5.8,1196.06
4018,20/08/2026,25/08/2026,software,Horizonte Bank,Ana Ribeiro,Baixa,-7.6,388.77
4019,12/08/2026,16/08/2026,  Acesso ,Cedro Varejo,Bruno Tavares,Critica,7.1,1453.31
4020,20/08/2026,24/08/2026,  Software , Beta Telecom,Bruno Tavares,Alta,4.8,3132690.0
4021,27/08/2026,28/08/2026,TELEFONIA,Cedro Varejo  ,Ana Ribeiro,Alta,9.8,2640.13
4022,17/08/2026,20/08/2026,  Hardware ,Ere Servicos  ,Elisa Fontes,Media,7.3,666.9
4023,06/08/2026,06/08/2026,  Telefonia ,Beta Telecom,Carla Menezes,Baixa,9.8,113.49
4024,01/08/2026,03/08/2026,  Telefonia ,Alfa Log  ,Carla Menezes,Critica,11.9,1908.95
4025,22/08/2026,22/08/2026,  Hardware ,Cedro Varejo  ,Diego Prado,Alta,12.3,2874.16
4026,17/08/2026,18/08/2026,Telefonia,Delta Industria  ,Diego Prado,Baixa,2.5,1697.48
4027,17/08/2026,17/08/2026,rede,Beta Telecom  ,Ana Ribeiro,Media,13.3,1610.13
4028,15/08/2026,19/08/2026,  Acesso ,Alfa Log  ,Ana Ribeiro,Alta,2.4,823.38
4029,09/08/2026,10/08/2026,rede,Ere Servicos  ,Ana Ribeiro,Baixa,5.2,1483500.0
4030,13/08/2026,13/08/2026,REDE,Delta Industria,Diego Prado,Baixa,6.4,2014.96
4031,08/08/2026,09/08/2026,Rede,Cedro Varejo,Elisa Fontes,Media,4.7,2884.47
4032,27/08/2026,28/08/2026,  Software , Gama Saude,Elisa Fontes,Alta,13.5,1626.12
4033,03/08/2026,04/08/2026,  Acesso , Delta Industria,Diego Prado,Alta,5.9,2300.74
4034,01/08/2026,07/08/2026,HARDWARE,Beta Telecom  ,Bruno Tavares,Media,5.3,662.04
4035,10/08/2026,13/08/2026,telefonia,Fenix Energia  ,Ana Ribeiro,Alta,7.7,1283.06
4036,13/08/2026,18/08/2026,rede,Beta Telecom  ,Diego Prado,Alta,8.0,1288.57
4037,15/08/2026,17/08/2026,SOFTWARE,Delta Industria  ,Diego Prado,Baixa,4.3,158.89
4038,26/08/2026,27/08/2026,Hardware, Cedro Varejo,Ana Ribeiro,Media,4.1,2685.22
4039,05/08/2026,09/08/2026,ACESSO,Horizonte Bank  ,Bruno Tavares,Media,5.5,755.41
4040,13/08/2026,16/08/2026,Telefonia,Delta Industria  ,Carla Menezes,Critica,7.3,789.09
4041,15/08/2026,20/08/2026,Hardware, Ere Servicos,Elisa Fontes,Critica,8.4,1228.15
4042,08/08/2026,11/08/2026,TELEFONIA,Delta Industria,Bruno Tavares,Baixa,9.7,365.38
4043,28/08/2026,28/08/2026,ACESSO, Alfa Log,Elisa Fontes,Media,4.7,1296.6
4044,03/08/2026,08/08/2026,HARDWARE,Delta Industria,Carla Menezes,Media,9.4,419960.0
4045,18/08/2026,20/08/2026,TELEFONIA, Ere Servicos,Bruno Tavares,Baixa,10.2,354.37
4046,10/08/2026,11/08/2026,  Acesso ,Ere Servicos,Carla Menezes,Critica,11.9,1529.13
4047,21/08/2026,26/08/2026,Hardware,Ere Servicos  ,Bruno Tavares,Baixa,5.4,2574.1
4048,23/08/2026,25/08/2026,acesso,Alfa Log  ,Diego Prado,Media,14.0,1329.64
4049,21/08/2026,21/08/2026,Hardware,Ere Servicos,Ana Ribeiro,Alta,12.8,2370.25
4050,23/08/2026,28/08/2026,rede,Gama Saude  ,Ana Ribeiro,Media,6.3,2441.71
4051,05/08/2026,08/08/2026,rede,Ere Servicos,Bruno Tavares,Media,8.2,2315.9
4052,09/08/2026,12/08/2026,Telefonia,Fenix Energia,Ana Ribeiro,Baixa,11.8,2502.6
4053,10/08/2026,10/08/2026,telefonia, Alfa Log,Bruno Tavares,Baixa,1.0,1073.88
4054,25/08/2026,27/08/2026,  Rede ,Gama Saude,Diego Prado,Media,4.3,360.59
4055,14/08/2026,17/08/2026,Software, Horizonte Bank,Elisa Fontes,Baixa,9.6,722.62
4056,22/08/2026,26/08/2026,hardware,Horizonte Bank  ,Bruno Tavares,Baixa,13.4,2654.55
4057,18/08/2026,20/08/2026,hardware,Cedro Varejo  ,Bruno Tavares,Alta,3.9,265.28
4058,12/08/2026,14/08/2026,acesso, Beta Telecom,Bruno Tavares,Alta,-2.4,2221.04
4059,16/08/2026,21/08/2026,ACESSO, Delta Industria,Bruno Tavares,Baixa,7.5,1468.5
